INSTRUMENT,Product,Mode,Sign 
MPO_SIMBIO-SYS_HRIC_FPAN,Time,seo,33333
MPO_SIMBIO-SYS_HRIC_FPAN,Corners,L,33
MPO_SIMBIO-SYS_HRIC_FPAN,Swath,m,3
MPO_SIMBIO-SYS_HRIC_FPAN,Pog,m,3
