Time,Time,Time,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN
ISOC,J2000,Norbit,Corners0,Corners0,Corners0,Corners1,Corners1,Corners1,Corners2,Corners2,Corners2,Corners3,Corners3,Corners3,SubNd,SubNd,SubNd,SubNd,Bore,Bore,Bore,Bore,Bore,Bore,Bore,PoG,PoG,Vel_on_bore,Vel_on_bore,Vel_on_bore,Swath,Swath,Swath,Swath,Subsolar,Subsolar,Subsolar
[txt],[s],[#],Lat[°],Long[°],Ray[km],Lat[°],Long[°],Ray[km],Lat[°],Long[°],Ray[km],Lat[°],Long[°],Ray[km],Lat[°],Long[°],Ray[km],Dist[km],Lat[°],Long[°],Ray[km],Inc[°],Emi[°],Pha[°],SunDist[km],h[m],w[m],[m/s],AT[ms/px],AT[°/s],h[°],w[°],h[m],w[m],Lat[°],Long[°],Ray[km]
2026-06-13T00:00:00.000000,834580869.1846129,829,31.93412230800832,-157.19632870031734,2439.3999999999996,32.02320945040833,-157.19636432686573,2439.4000000000005,32.022874771714335,-156.85983603773752,2439.399999999999,31.933788018703325,-156.8601178824257,2439.4000000000005,32.00994369772648,-157.02776391229716,2439.4,473.77199619923977,31.978610820653273,-157.02816140746307,2439.4,60.34537400593208,0.1899959030403469,60.41499142657332,63006343.31477008,0.00592581965390399,0.005930919170981346,2.4681898930212536,2.400876719679916,0.05797198651593178,0.0890871106651847,0.28532436023857316,3792.9337833169925,12147.844924721783,0.0030095540460339915,148.654009568757,2439.4
2026-06-13T00:00:10.000000,834580879.1846129,829,32.51330328794596,-157.19792806730788,2439.4,32.602713884617685,-157.19796776394298,2439.4000000000005,32.6023761689178,-156.8580499639875,2439.4000000000005,32.51296597346425,-156.85833970144935,2439.4,32.5891307895843,-157.02766994053974,2439.4000000000005,475.489099120393,32.55795534673514,-157.02807103307146,2439.3999999999996,60.55306427069122,0.18845637376376487,60.623066081344604,63006432.77173197,0.005947334588166816,0.005952453152710564,2.4651830806137287,2.4125326167199623,0.05790136355096551,0.08941056593703589,0.2863603363176281,3806.7050732245434,12191.952188271092,0.003009322253454934,148.65369065911827,2439.4
2026-06-13T00:00:20.000000,834580889.1846129,829,33.091757382289366,-157.1995738800626,2439.4000000000005,33.18149859840768,-157.19961772408723,2439.3999999999996,33.18115775605075,-156.85620647007204,2439.4,33.09141695364908,-156.8565044410277,2439.4000000000005,33.1677133253112,-157.02756975177036,2439.4,477.2445364249741,33.136576587541555,-157.0279752441829,2439.3999999999996,60.76336682709709,0.18764049030358224,60.83399389963887,63006522.34110034,0.0059693302167921035,0.005974467984744222,2.4620210367272466,2.424565073874067,0.0578270945629641,0.08974118644753315,0.28741944453797513,3820.781427192691,12237.044315730931,0.003009090461367109,148.65337174850598,2439.4
2026-06-13T00:00:30.000000,834580899.1846129,829,33.669441967603326,-157.20126640799924,2439.3999999999996,33.75952109972571,-157.20131466415876,2439.4,33.759177038261875,-156.8543037015583,2439.4,33.66909833250281,-156.85461006935955,2439.3999999999996,33.745656801572714,-157.02746264352618,2439.4,479.0380318062886,33.714432017518675,-157.02787328149807,2439.4000000000005,60.97621941886616,0.1875911348031553,61.04773869297821,63006612.021052465,0.0059918030520519725,0.0059969601614591785,2.458648252264763,2.437031424292871,0.057747875773545565,0.09007910366075193,0.2885015174939975,3835.1684423782967,12283.114179713113,0.0030088586697407786,148.65305283686436,2439.4
2026-06-13T00:00:40.000000,834580909.1846129,829,34.246302548114045,-157.203005507679,2439.4,34.336726644148584,-157.20305826463283,2439.4,34.33637926602407,-156.8523390342727,2439.4,34.2459556096474,-156.85265416407287,2439.3999999999996,34.322916820487,-157.0273474736439,2439.4,480.86923413086504,34.291467111660246,-157.0277638615779,2439.4000000000005,61.191555110757186,0.18836255149683664,61.26426450264297,63006701.809571065,0.00601474868465675,0.006019925248007299,2.455024576098937,2.4499749384237353,0.0576627641269833,0.09042406887335495,0.28960634533383545,3849.8555300970656,12330.15284565683,0.003008626878554809,148.65273392421489,2439.4
2026-06-13T00:00:50.000000,834580919.1846129,829,34.8222772744205,-157.2047905181971,2439.3999999999996,34.913053301855314,-157.20484786807287,2439.4000000000005,34.912702503176114,-156.85030950813785,2439.4000000000005,34.82192692932341,-156.85063377969755,2439.4,34.89944283961527,-157.02722250655358,2439.4,482.73773461119777,34.86761979306354,-157.02764499127852,2439.4,61.40930386148755,0.1900177803658828,61.48353486343645,63006791.70450078,0.0060381620957429705,0.0060433581899525905,2.4511301627013338,2.463419604403404,0.05757129349840174,0.09077600168826959,0.29073367784850185,3864.8392673984613,12378.149660773888,0.0030083950878625966,148.65241501055277,2439.4
2026-06-13T00:01:00.000000,834580929.1846129,829,35.39730245393146,-157.20662021980615,2439.4,35.488437487885676,-157.20668244413002,2439.3999999999996,35.48808315689513,-156.84821174687855,2439.4,35.39694859047322,-156.84854536160802,2439.3999999999996,35.47518327212517,-157.02708583287983,2439.4000000000005,484.6430729638082,35.44282651626201,-157.02751446838332,2439.3999999999996,61.62939433676437,0.1926193990410419,61.70551403953353,63006881.703614384,0.006062037630754745,0.0060672532918400034,2.4469749972444506,2.477359857612453,0.05747369841606267,0.09113500988714017,0.29188324459784093,3880.124243146543,12427.093110922733,0.0030081632976030627,148.6520960958875,2439.4
2026-06-13T00:01:10.000000,834580939.1846129,829,35.971318974966934,-157.20849347392394,2439.400000000001,36.06281974754725,-157.20856061065737,2439.4,36.062461762937644,-156.84604192031136,2439.4,35.970961472575524,-156.84638535341276,2439.4000000000005,36.05009032969882,-157.02693536902203,2439.3999999999996,486.58479210835844,36.01702806223624,-157.0273698804969,2439.4,61.85175617865548,0.19622657671405364,61.930165925988426,63006971.804697044,0.006086369537684171,0.006091604758731391,2.442577851325823,2.4917811869867363,0.05737041978072589,0.09150075035528359,0.2930547690560436,3895.6958490409233,12476.971422861696,0.0030079315078355793,148.65177718020954,2439.4
2026-06-13T00:01:20.000000,834580949.1846129,829,36.54503845135338,-157.21041178861591,2439.4000000000005,36.63691182773205,-157.21048389496394,2439.4,36.63654913673724,-156.8437953141951,2439.4,36.5446762588853,-156.84414928275163,2439.4,36.624124426777776,-157.02676888256772,2439.4000000000005,488.5624629963996,36.59093549253287,-157.02720956073549,2439.4000000000005,62.07662080422168,0.1963266855858223,62.15595552292803,63007062.01686168,0.006111149389597342,0.006116405869179827,2.444261461041486,2.50020281667961,0.057409963820676146,0.09187335603421344,0.29424792330661553,3911.5597451412286,12527.770635361818,0.0030076997185058464,148.65145826351542,2439.4
